File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
ftaj0_si1329.wav,8,4:2:0,3797.57651,54.51,11.91,4.06,256x256 (4:2:0),Success
msjs1_sa2.wav,8,4:2:0,5497.8568,52.91,10.23,6.28,256x256 (4:2:0),Success
mtmr0_sx43.wav,8,4:2:0,5140.41488,53.2,12.89,5.37,256x256 (4:2:0),Success
fmkc0_sx442.wav,8,4:2:0,4320.7398,53.95,9.42,4.85,256x256 (4:2:0),Success
mljc0_sa2.wav,8,4:2:0,6167.24919,52.41,9.38,6.4,256x256 (4:2:0),Success
meal0_sx347.wav,8,4:2:0,3171.60765,55.3,16.97,3.59,256x256 (4:2:0),Success
fsls0_sx66.wav,8,4:2:0,5525.4005,52.89,23.85,7.05,256x256 (4:2:0),Success
flmk0_sx135.wav,8,4:2:0,3816.40073,54.49,15.12,4.26,256x256 (4:2:0),Success
fssb0_si1082.wav,8,4:2:0,4915.78357,53.39,11.54,5.75,256x256 (4:2:0),Success
fdrw0_sa2.wav,8,4:2:0,3674.02903,54.66,14.31,4.18,256x256 (4:2:0),Success
mjfc0_sx43.wav,8,4:2:0,7931.86466,51.32,13.81,9.08,256x256 (4:2:0),Success
mrpp0_si1814.wav,8,4:2:0,5844.36716,52.64,13.61,6.43,256x256 (4:2:0),Success
mrlj1_sx231.wav,8,4:2:0,12722.53666,49.26,6.46,14.29,256x256 (4:2:0),Success
mlbc0_sx69.wav,8,4:2:0,6130.00581,52.43,13.87,6.88,256x256 (4:2:0),Success
fljg0_sa1.wav,8,4:2:0,3117.53469,55.37,20.88,3.93,256x256 (4:2:0),Success
mdns0_sx381.wav,8,4:2:0,6579.6957,52.13,20.79,8.04,256x256 (4:2:0),Success
mwgr0_si976.wav,8,4:2:0,3785.32388,54.53,11.7,4.28,256x256 (4:2:0),Success
fdml0_si1149.wav,8,4:2:0,4476.048,53.8,12.93,5.34,256x256 (4:2:0),Success
madc0_sx287.wav,8,4:2:0,4537.49293,53.74,17.28,5.14,256x256 (4:2:0),Success
fjhk0_sx302.wav,8,4:2:0,4992.22573,53.33,10.74,5.67,256x256 (4:2:0),Success
mbar0_sx419.wav,8,4:2:0,4167.07235,54.11,16.96,4.84,256x256 (4:2:0),Success
mnet0_sx6.wav,8,4:2:0,8251.14633,51.14,8.93,9.57,256x256 (4:2:0),Success
msdb0_sa1.wav,8,4:2:0,5509.7755,52.9,5.49,5.71,256x256 (4:2:0),Success
mcdr0_si1784.wav,8,4:2:0,2747.72133,55.92,20.81,3.04,256x256 (4:2:0),Success
mbpm0_si1584.wav,8,4:2:0,4004.56808,54.28,19.52,4.51,256x256 (4:2:0),Success
mjpm1_sa1.wav,8,4:2:0,4079.88146,54.2,25.54,5.2,256x256 (4:2:0),Success
mbth0_sx122.wav,8,4:2:0,4902.19148,53.41,14.85,5.77,256x256 (4:2:0),Success
mrjo0_sx194.wav,8,4:2:0,10176.05136,50.23,11.9,11.86,256x256 (4:2:0),Success
mteb0_sx233.wav,8,4:2:0,4194.3321,54.08,15.39,4.62,256x256 (4:2:0),Success
fsjg0_sx400.wav,8,4:2:0,4469.27934,53.81,22.07,5.49,256x256 (4:2:0),Success
fgjd0_sx99.wav,8,4:2:0,5856.50517,52.63,12.06,7.01,256x256 (4:2:0),Success
futb0_sx394.wav,8,4:2:0,5238.04606,53.12,18.04,5.99,256x256 (4:2:0),Success
fecd0_sx428.wav,8,4:2:0,3523.24427,54.84,18.85,3.97,256x256 (4:2:0),Success
frll0_sa1.wav,8,4:2:0,4724.30687,53.57,23.78,5.45,256x256 (4:2:0),Success
makb0_sa2.wav,8,4:2:0,1765.61341,57.84,15.44,1.62,256x256 (4:2:0),Success
mpar0_sx406.wav,8,4:2:0,3346.26537,55.06,14.52,3.66,256x256 (4:2:0),Success
mjpm0_si1998.wav,8,4:2:0,5228.48492,53.13,23.53,6.19,256x256 (4:2:0),Success
